name,cam_lat,cam_long,elev,code,dir,fov_center,fov_lft,fov_rt,num_events,event_dates,x_pixel,y_pixel,incident,incident_dist,incident_latitude,incident_longitude,check
Los Pinos,32.734673,-116.577751,4800,pi,e,"[-116.04659616305612, 32.73]","[-116.20147379070163, 33.04822561243623]","[-116.20415877907386, 32.41062340363592]",5,20200823,1249,743,None,0,0,0,0
Los Pinos,32.734673,-116.577751,4800,pi,s,"[-116.58, 32.27912580807218]","[-116.20415877907386, 32.41062340363592]","[-116.95584122092613, 32.41062340363591]",10,20190714,964,752,None,0,0,0,0
Los Pinos,32.734673,-116.577751,4800,pi,s,"[-116.58, 32.27912580807218]","[-116.20415877907386, 32.41062340363592]","[-116.95584122092613, 32.41062340363591]",10,20190809,1164,756,None,0,0,0,0
Los Pinos,32.734673,-116.577751,4800,pi,s,"[-116.58, 32.27912580807218]","[-116.20415877907386, 32.41062340363592]","[-116.95584122092613, 32.41062340363591]",10,20191006,353,753,None,0,0,0,0
Los Pinos,32.734673,-116.577751,4800,pi,s,"[-116.58, 32.27912580807218]","[-116.20415877907386, 32.41062340363592]","[-116.95584122092613, 32.41062340363591]",10,20200829,234,757,None,0,0,0,0
Los Pinos,32.734673,-116.577751,4800,pi,s,"[-116.58, 32.27912580807218]","[-116.20415877907386, 32.41062340363592]","[-116.95584122092613, 32.41062340363591]",10,20200911,65,819,None,0,0,0,0
Los Pinos,32.734673,-116.577751,4800,pi,s,"[-116.58, 32.27912580807218]","[-116.20415877907386, 32.41062340363592]","[-116.95584122092613, 32.41062340363591]",10,20201105,1575,767,None,0,0,0,0
Los Pinos,32.734673,-116.577751,4800,pi,s,"[-116.58, 32.27912580807218]","[-116.20415877907386, 32.41062340363592]","[-116.95584122092613, 32.41062340363591]",10,20210113,1168,1098,None,0,0,0,0
Los Pinos,32.734673,-116.577751,4800,pi,w,"[-117.11340383694387, 32.73]","[-116.95584122092613, 32.41062340363591]","[-116.95852620929837, 33.04822561243623]",6,20201127,2506,1114,None,0,0,0,0
Los Pinos,32.734673,-116.577751,4800,pi,w,"[-117.11340383694387, 32.73]","[-116.95584122092613, 32.41062340363591]","[-116.95852620929837, 33.04822561243623]",6,20201216,2241,1066,None,0,0,0,0
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20191006,2721,1036,None,0,0,0,0
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20200813,1638,1053,None,0,0,0,0
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20200822,268,1129,None,0,0,0,0
Lyons Peak,32.7015,-116.7646,3700,lp,e,"[-116.23136575570216, 32.7015]","[-116.38619562001993, 33.0197276883123]","[-116.38887682424091, 32.382122568778954]",6,20191006,2393,1056,None,0,0,0,0
Lyons Peak,32.7015,-116.7646,3700,lp,e,"[-116.23136575570216, 32.7015]","[-116.38619562001993, 33.0197276883123]","[-116.38887682424091, 32.382122568778954]",6,20200822,2843,1452,None,0,0,0,0
Lyons Peak,32.7015,-116.7646,3700,lp,e,"[-116.23136575570216, 32.7015]","[-116.38619562001993, 33.0197276883123]","[-116.38887682424091, 32.382122568778954]",6,20200911,1677,1043,None,0,0,0,0
