camera_id,direction,camera_name,image_id,long,lat,elevation,geometry.type,geometry.coordinates,x_resolution,y_resolution,center_lat,center_long,properties.description.url
hpwren24_east,east,San Juan Hills,sjh-e-mobo-c,-117.6031176,33.50294205,1177.0,Point,"[-117.6031, 33.5029, 1177]",3072.0,2048.0,33.50292756,-117.5999521,http://hpwren.ucsd.edu/cameras/sjh.html
hpwren24_south,south,San Juan Hills,sjh-s-mobo-c,-117.6031176,33.50294205,1177.0,Point,"[-117.6031, 33.5029, 1177]",3072.0,2048.0,33.49739448,-117.6028632,http://hpwren.ucsd.edu/cameras/sjh.html
hpwren24_west,west,San Juan Hills,sjh-w-mobo-c,-117.6031176,33.50294205,1177.0,Point,"[-117.6031, 33.5029, 1177]",3072.0,2048.0,33.50309263,-117.6246855,http://hpwren.ucsd.edu/cameras/sjh.html
hpwren25_north,north,Santa Ysabel,vo-n-mobo-c,-116.6170953,33.13826401,5500.0,Point,"[-116.61, 33.13, 5500]",3072.0,2048.0,33.16181938,-116.6181518,http://hpwren.ucsd.edu/cameras/VO.html
hpwren25_east,east,Santa Ysabel,vo-e-mobo-c,-116.6170953,33.13826401,5500.0,Point,"[-116.61, 33.13, 5500]",3072.0,2048.0,33.13889532,-116.5965816,http://hpwren.ucsd.edu/cameras/VO.html
hpwren25_south,south,Santa Ysabel,vo-s-mobo-c,-116.6170953,33.13826401,5500.0,Point,"[-116.61, 33.13, 5500]",3072.0,2048.0,33.00057335,-116.5955148,http://hpwren.ucsd.edu/cameras/VO.html
hpwren25_west,west,Santa Ysabel,vo-w-mobo-c,-116.6170953,33.13826401,5500.0,Point,"[-116.61, 33.13, 5500]",3072.0,2048.0,33.13983116,-116.6995747,http://hpwren.ucsd.edu/cameras/VO.html
hpwren26_north,north,Signal Peak,signal-n-mobo-c,-117.810884,33.60523424,1000.0,Point,"[-117.8109, 33.6052, 1000]",3072.0,2048.0,33.60613199,-117.8109116,http://hpwren.ucsd.edu/cameras/signal.html
hpwren26_east,east,Signal Peak,signal-e-mobo-c,-117.810884,33.60523424,1000.0,Point,"[-117.8109, 33.6052, 1000]",3072.0,2048.0,33.60532268,-117.8085619,http://hpwren.ucsd.edu/cameras/signal.html
hpwren26_south,south,Signal Peak,signal-s-mobo-c,-117.810884,33.60523424,1000.0,Point,"[-117.8109, 33.6052, 1000]",3072.0,2048.0,33.60423073,-117.810847,http://hpwren.ucsd.edu/cameras/signal.html
hpwren26_west,west,Signal Peak,signal-w-mobo-c,-117.810884,33.60523424,1000.0,Point,"[-117.8109, 33.6052, 1000]",3072.0,2048.0,33.60523689,-117.8145783,http://hpwren.ucsd.edu/cameras/signal.html
hpwren27_north,north,Sky Oaks,sojr-n-mobo-c,-116.6222928,33.37865603,4975.0,Point,"[-116.6223, 33.3787, 4975]",3072.0,2048.0,33.38598819,-116.6225236,http://hpwren.ucsd.edu/cameras/SkyOaksJR.html
hpwren27_east,east,Sky Oaks,sojr-e-mobo-c,-116.6222928,33.37865603,4975.0,Point,"[-116.6223, 33.3787, 4975]",3072.0,2048.0,33.37921665,-116.5776249,http://hpwren.ucsd.edu/cameras/SkyOaksJR.html
